landcover_class,landcover_name,lighting_radiance,lst_celsius,uhi_intensity,no2,geometry
1,Trees,5.448457664,27.87119658,,0.000101424,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.235, 28.4], [77.24249999999999, 28.4], [77.24249999999999, 28.40625], [77.235, 28.40625], [77.235, 28.4]]]}"
1,Trees,5.105871425,28.14627891,,0.000103956,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.2425, 28.4], [77.25, 28.4], [77.25, 28.40625], [77.2425, 28.40625], [77.2425, 28.4]]]}"
1,Trees,8.325932132,28.58435266,,0.000105472,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.25, 28.4], [77.2575, 28.4], [77.2575, 28.40625], [77.25, 28.40625], [77.25, 28.4]]]}"
1,Trees,9.312161004,29.23256473,,0.000105878,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.25750000000001, 28.4], [77.265, 28.4], [77.265, 28.40625], [77.25750000000001, 28.40625], [77.25750000000001, 28.4]]]}"
6,Built area,14.7553556,29.90127093,1.198654819,0.000108957,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.265, 28.4], [77.2725, 28.4], [77.2725, 28.40625], [77.265, 28.40625], [77.265, 28.4]]]}"
6,Built area,21.22700805,30.58148911,1.878872996,0.000112029,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.27250000000001, 28.4], [77.28, 28.4], [77.28, 28.40625], [77.27250000000001, 28.40625], [77.27250000000001, 28.4]]]}"
6,Built area,22.7348307,30.78052529,2.07790918,0.000115445,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.28, 28.4], [77.2875, 28.4], [77.2875, 28.40625], [77.28, 28.40625], [77.28, 28.4]]]}"
6,Built area,25.15898697,30.75274174,2.050125633,0.000117452,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.28750000000001, 28.4], [77.295, 28.4], [77.295, 28.40625], [77.28750000000001, 28.40625], [77.28750000000001, 28.4]]]}"
6,Built area,28.35983836,30.68009685,1.977480739,0.000119376,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.295, 28.4], [77.3025, 28.4], [77.3025, 28.40625], [77.295, 28.40625], [77.295, 28.4]]]}"
6,Built area,38.15157319,30.6530274,1.950411287,0.000121969,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.30250000000001, 28.4], [77.31, 28.4], [77.31, 28.40625], [77.30250000000001, 28.40625], [77.30250000000001, 28.4]]]}"
