landcover_class,geometry,landcover_name
6.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.19, 28.45], [77.22, 28.45], [77.22, 28.474999999999998], [77.19, 28.474999999999998], [77.19, 28.45]]]}",Built area
1.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.22, 28.45], [77.25, 28.45], [77.25, 28.474999999999998], [77.22, 28.474999999999998], [77.22, 28.45]]]}",Trees
1.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.25, 28.45], [77.28, 28.45], [77.28, 28.474999999999998], [77.25, 28.474999999999998], [77.25, 28.45]]]}",Trees
6.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.28, 28.45], [77.31, 28.45], [77.31, 28.474999999999998], [77.28, 28.474999999999998], [77.28, 28.45]]]}",Built area
6.000000000000013,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.31, 28.45], [77.34, 28.45], [77.34, 28.474999999999998], [77.31, 28.474999999999998], [77.31, 28.45]]]}",
1.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.34, 28.45], [77.37, 28.45], [77.37, 28.474999999999998], [77.34, 28.474999999999998], [77.34, 28.45]]]}",Trees
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.37, 28.45], [77.4, 28.45], [77.4, 28.474999999999998], [77.37, 28.474999999999998], [77.37, 28.45]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.4, 28.45], [77.43, 28.45], [77.43, 28.474999999999998], [77.4, 28.474999999999998], [77.4, 28.45]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.8, 28.474999999999998], [76.83, 28.474999999999998], [76.83, 28.499999999999996], [76.8, 28.499999999999996], [76.8, 28.474999999999998]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.83, 28.474999999999998], [76.86, 28.474999999999998], [76.86, 28.499999999999996], [76.83, 28.499999999999996], [76.83, 28.474999999999998]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.86, 28.474999999999998], [76.89, 28.474999999999998], [76.89, 28.499999999999996], [76.86, 28.499999999999996], [76.86, 28.474999999999998]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.89, 28.474999999999998], [76.92, 28.474999999999998], [76.92, 28.499999999999996], [76.89, 28.499999999999996], [76.89, 28.474999999999998]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.92, 28.474999999999998], [76.95, 28.474999999999998], [76.95, 28.499999999999996], [76.92, 28.499999999999996], [76.92, 28.474999999999998]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.95, 28.474999999999998], [76.98, 28.474999999999998], [76.98, 28.499999999999996], [76.95, 28.499999999999996], [76.95, 28.474999999999998]]]}",Crops
5.999999999999951,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.98, 28.474999999999998], [77.01, 28.474999999999998], [77.01, 28.499999999999996], [76.98, 28.499999999999996], [76.98, 28.474999999999998]]]}",
5.9999999999999885,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.01, 28.474999999999998], [77.04, 28.474999999999998], [77.04, 28.499999999999996], [77.01, 28.499999999999996], [77.01, 28.474999999999998]]]}",
